Game,AppId
Bang-On Balls: Chronicles,1227650
BanHammer,423840
Banishers: Ghosts of New Eden,1493640
Bannerman,456170
Bannermen,699740
Banners of Ruin,1075740
Banter Schooldays!!三〇一室无一人,1110690
Banzai Escape,440340
Barbarian Brawl,332730
Barbearian,813450
Bard's Gold,381900
Bardbarian,269490
Barnyard Mahjong 3,498030
Barony,371970
Barotrauma,602960
Barrage Musical ～A Fantasy of Tempest～,665270
BARRIER X,463150
Barro,618140
Barro 2020,1168660
Barro 22,1797610
Barro F,1239260
Barro F22,1958600
Barro GT,1990740
Barro Racing,1307090
Bartender Hustle,1153210
Base Raid,511390
Baseball Riot,567660
Basement,340150
Basingstoke,336940
Basketball Babe VR,528990
Basketball Pro Management 2015,310880
BasketBelle,329690
Bastard,846200
